OrderId,OrderItemId,QuantityOrdered,ItemPrice,PromotionDiscount,batch_id
171-0001135-1657958,1.11689E+13,1,949,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",359
171-0001497-9165123,1.97603E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1135
171-0002127-1363507,5.94976E+12,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",297
171-0002370-0601169,5.75719E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",114
171-0004526-2028348,3.38513E+13,1,1699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",764
171-0004781-3853173,4.36861E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",809
171-0004947-4305927,1.59414E+13,1,1399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",15
171-0004947-4305927,1.59414E+13,1,1399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",330
171-0005467-8036365,3.39524E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",868
171-0006030-2254725,3.14562E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1494
171-0006682-9937168,2.91589E+12,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",255
171-0008037-3788355,2.24569E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",232
171-0008659-1412343,4.58417E+13,1,2899,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",184
171-0008662-0057942,6.63267E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",122
171-0010322-1769977,4.74592E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",676
171-0010803-5365973,2.11352E+13,1,299,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",669
171-0011025-3910737,1.82077E+13,1,1499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",821
171-0015661-5525128,5.23226E+13,1,1199,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",31
171-0015668-5065935,8.91807E+12,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",709
171-0016430-9547521,3.52665E+12,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",325
171-0016468-7483547,4.10881E+13,1,369,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",529
171-0016656-1255573,2.15774E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",695
171-0017311-5318712,6.42585E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",577
171-0018170-2421930,3.16021E+13,1,799,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",800
171-0018345-8874731,5.93659E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",150
171-0018448-9529112,2.46368E+13,1,299,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1576
171-0020330-4809129,4.71164E+13,1,849,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",975
171-0020871-3057976,3.16393E+13,1,1139,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",296
171-0021483-3525174,6.43707E+13,1,1599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",911
171-0022424-6354758,2.54316E+13,1,949,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",874
171-0022691-4700335,6.0239E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",64
171-0022807-7934716,5.92427E+12,1,999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1329
171-0023361-7532373,5.00057E+13,1,1999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",283
171-0023912-2838777,1.29273E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",910
171-0024838-4383551,2.81677E+13,1,629,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",560
171-0025528-4025152,4.92857E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",872
171-0025941-8385108,4.39567E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",206
171-0026175-0529902,5.2857E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",356
171-0027025-7137139,3.34791E+13,1,2689,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",19
171-0027025-7137139,3.34791E+13,1,2689,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",223
171-0027360-2156323,1.8671E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",462
171-0027470-8653903,2.52005E+13,1,465.25,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",461
171-0027915-8460372,1.93706E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1477
171-0028127-6647532,5.17646E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",275
171-0028216-8371541,1.09244E+13,1,1749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",700
171-0028333-6781103,8.08961E+12,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1581
171-0029459-4938769,1.22695E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",859
171-0029785-0689923,5.48845E+13,1,521,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",652
171-0030933-1962721,5.7742E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",444
171-0030987-7733153,2.35737E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",546
171-0032103-6712352,2.94779E+13,1,749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",884
171-0033662-2427509,3.01278E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",707
171-0034191-0141945,4.82338E+12,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1066
171-0034857-3794740,3.58606E+13,2,1198,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",188
171-0035112-3975520,6.97078E+13,1,299,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",289
171-0035681-2079506,1.65276E+13,1,799,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1320
171-0036328-6765939,4.6687E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",229
171-0036756-9277149,3.06269E+13,1,1699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",730
171-0036856-5109160,5.90291E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1372
171-0037142-9207550,2.46991E+13,1,1599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",709
171-0037283-7862727,4.29742E+13,1,1749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",233
171-0037856-0957939,3.30987E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",36
171-0038030-5358746,6.69222E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",958
171-0039618-4949171,2.85533E+12,2,558,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",165
171-0043140-1568305,3.65143E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1464
171-0044266-2647532,5.2913E+13,1,999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",913
171-0044724-9304333,1.52196E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",271
171-0044724-9304333,1.52196E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",310
171-0046977-6236329,5.4673E+13,1,1399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",74
171-0047449-8610712,3.39727E+12,1,529,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",36
171-0047449-8610712,3.82646E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",37
171-0047449-8610712,3.39727E+12,1,529,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",109
171-0047449-8610712,3.82646E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",110
171-0047449-8610712,3.39727E+12,1,529,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",353
171-0047449-8610712,3.82646E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",354
171-0048393-4049957,6.72704E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",58
171-0048393-4049957,6.72704E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",260
171-0048452-6955542,4.47921E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",954
171-0049412-6503559,6.61179E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1483
171-0050079-9266759,1.00772E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",784
171-0051110-5241146,6.97294E+13,1,799,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",352
171-0051151-8917164,3.77586E+13,1,799,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1053
171-0051434-6217902,6.84371E+13,1,1999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",26
171-0052971-5869129,2.84314E+13,1,749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",112
171-0054608-3641930,2.65916E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",884
171-0055360-1402717,3.49732E+12,1,1349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",96
171-0056238-8340361,2.98948E+13,1,629,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",520
171-0056339-8373106,1.6904E+13,1,1149,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",609
171-0056519-3550711,2.89332E+12,1,1199,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",171
171-0057190-2365978,3.55253E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",693
171-0057847-0289157,6.85783E+13,1,629,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",149
171-0060186-9892334,3.62581E+13,1,649,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",653
171-0060618-0701951,3.15868E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",801
171-0061485-2957955,2.03898E+13,1,1699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",345
171-0063028-0384350,6.71588E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",814
171-0064054-3777147,4.41005E+13,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1801
171-0064054-3777147,4.69242E+13,1,529,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1802
171-0064164-4777136,6.83856E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",729
171-0064902-3332371,3.66862E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",20
171-0065628-5838755,6.19272E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",105
171-0065731-1545177,3.05149E+13,1,279,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",30
171-0065796-5300346,5.79168E+13,1,749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",882
171-0066467-2265136,4.98409E+13,1,539,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1007
171-0066814-8756311,5.24779E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",278
171-0067594-8053912,4.15775E+13,1,1440,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",80
